Reference Short	Reference Short 2	Child	Study Design	"McGlynn, 2022"	"Lee, 2022~"	"Rousham, 2022*"	"WHO, 2022"	"Rogers, 2021"	"Laviada-Molina, 2020"	"Lohner, 2020"	"Qin, 2020~"	"Anker, 2019~"	"Toews, 2019~"	"Karalexi, 2018*"	"Santos, 2018~"	"Azad, 2017"	"Ruanpeng, 2017~"	"Reid, 2016*"	"Rogers, 2016"	"Miller, 2014"	"Pereira, 2014"	"Wiebe, 2011~"	"Brown, 2010*"
"Ferri, 2006"	"Ferri, 2006"	0	RCT	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Gostner, 2005"	"Gostner, 2005"	0	RCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Hsieh, 2003"	"Hsieh, 2003"	0	RCT	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Raben, 2001/2002"	"Raben, 2001/2002"	0	RCT	0	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	"MA-BW, BMI"	0	0	0	0	0	MA-BW LCSB v SSB	MA-BW	Text only	Text only	0
"Baird, 2000"	"Baird, 2000"	0	RCT	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Chan, 2000"	"Chan, 2000"	0	RCT	0	0	0	0	MA-BMI LCS capsules v placebo	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0
"McLean, 2000"	"McLean, 2000"	0	RCT	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Reid, 1998"	"Reid, 1998"	0	RCT	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Blackburn, 1997"	"Blackburn, 1997"	0	RCT	0	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	Text only	0	MA-BW ASP v control	MA-BW SMD	0	0	MA-BW LCSB v SSB	MA-BW	0	0	0
"Gatenby, 1997"	"Gatenby, 1997"	0	RCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Naismith, 1995"	"Naismith, 1995"	0	RCT	0	0	0	MA-BW	MA-BW LCS v sugar	0	0	0	0	Text Only	0	0	0	0	0	Text only (too short <4 wk)	0	0	0	0
"Tordoff, 1990"	"Tordoff, 1990"	0	RCT	MA-BW	0	0	MA-BW	MA-BW LCS v nothing	0	0	0	0	0	0	0	0	0	0	Text only (too short <4 wk)	MA-BW	Text only	0	0
"Colaguiri, 1989"	"Colaguiri, 1989"	0	RCT	0	0	0	0	MA-BW LCS v sugar	0	MA-BW LCS v sugar	0	0	0	0	MA-BW ASP v control; MA-BW ASP v sucrose	0	0	0	0	0	0	0	0
"Leon, 1989"	"Leon, 1989"	0	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0
"Addington, 1988"	"Addington, 1988"	0	RCT	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cooper, 1988"	"Cooper, 1988"	0	RCT	0	0	0	0	0	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kanders, 1988"	"Kanders, 1988"	0	RCT	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	MA-BW	0	0	0	Text only	0	Text only	0	0	0	MA-BW LCSB v SSB	MA-BW; MA-BMI; MA-Fat mass	0	0	0
"Chantelau, 1985"	"Chantelau, 1985"	0	RCT	0	0	0	0	MA-BW LCS v sugar	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	Text only	0
"Werner, 1984"	"Werner, 1984"	0	RCT	0	0	0	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Porikos, 1982"	"Porikos, 1982"	0	RCT	0	0	0	0	0	0	0	0	0	Text Only	0	0	0	0	0	0	0	0	0	0
"Frey, 1976"	"Frey, 1976"	0	RCT	0	0	0	0	MA- BW LCS v Sugar	MA-BW	0	0	0	Text Only	0	0	0	0	0	0	0	0	0	0
"Knopp, 1976"	"Knopp, 1976*"	1	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	MA-BW	0	0	0	Text Only	0	0	0	0	0	0	MA-BW	0	0	Text only
"Stern, 1976"	"Stern, 1976"	0	RCT	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	MA-BW LCS v placebo	0	0	0	0	Text only	0	0	0	0	0	0	0	0
"Berryman, 1968"	"Berryman, 1968"	0	RCT	0	0	0	0	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wulaningsih, 2017"	"Wulaningsih, 2017"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Kuk, 2016"	"Kuk, 2016"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"O'Connor, 2015"	"O'Connor, 2015*"	1	Cross-sectional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only
"Duran Aguero, 2014"	"Duran Aguero, 2014"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Fernandes, 2013"	"Fernandes, 2013"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"French, 2013"	"French, 2013"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O'Connor, 2006"	"O'Connor, 2006*"	1	Cross-sectional	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0
"Forshee, 2003"	"Forshee, 2003*"	1	Cross-sectional	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	Text only
"Giammattei, 2003"	"Giammattei, 2003*"	1	Cross-sectional	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	Text only
"Serra-Majem, 1996"	"Serra-Majem, 1996"	0	Cross-sectional	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Stookey, 2008"	"Stookey, 2008"	0	Cohort	0	"MA-WC*; MA-BW, WC, BF%* LCSB v SSB only"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stellman, 1986"	"Stellman, 1986"	0	Cohort	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chia, 2016"	"Chia, 2016"	0	Cohort	0	0	0	"MA-BMI, Ob Incidence, WC, AbO incidence"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Duffey, 2012"	"Duffey, 2012"	0	Cohort	0	0	0	MA-Ab incidence (h v l)	0	0	0	MA- OB risk (h v l)	0	0	0	0	0	0	0	Text only	0	0	0	0
"Hinkle, 2019"	"Hinkle, 2019"	0	Cohort	0	0	0	0	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	0	0	0	0	0	0	0	0
"Lana, 2015"	"Lana, 2015"	0	Cohort	0	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Ma, 2016"	"Ma, 2016"	0	Cohort	0	0	0	MA-BW (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garduno-Alanis, 2020"	"Garduno-Alanis, 2020"	0	Cohort	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pan, 2013"	"Pan, 2013"	0	Cohort	0	MA-BW LCSB v SSB only	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0
"Mozaffarian, 2011"	"Mozaffarian, 2011"	0	Cohort	0	Text - only (double count)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0
"Smith, 2015"	"Smith, 2015"	0	Cohort	0	MA-BW	0	MA-BW	0	0	0	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0
"Gearon, 2014"	"Gearon, 2014"	0	Cohort	0	0	0	Text only	0	0	0	0	0	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Nettleton, 2009"	"Nettleton, 2009"	0	Cohort	0	0	0	MA-Ab incidence (h v l)	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	Text only	Text only	0	Text only	Text only	Text only	0	0
"Stern, 2017"	"Stern, 2017"	0	Cohort	0	MA-BW	0	"MA-BW (h v l),WC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colditz, 1990"	"Colditz, 1990"	0	Cohort	0	0	0	0	0	0	0	0	0	Text Only	0	0	0	0	0	0	Text only	0	0	0
"Schulze, 2004"	"Schulze, 2004"	0	Cohort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Tucker, 2015"	"Tucker, 2015"	0	Cohort	0	0	0	MA-BW (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ferreira-Pego, 2016"	"Ferreira-Pego, 2016"	0	Cohort	0	0	0	MA-Ab incidence (h v l)	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	0	0	0	0	0	0	0	0
"Parker, 1997"	"Parker, 1997"	0	Cohort	0	0	0	"MA-BW (cont), BW (h v l)"	0	0	0	0	0	Text Only	0	0	MA-BW	0	0	0	MA-BW	0	0	0
"Chen, 2009"	"Chen, 2009"	0	Cohort	0	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	Text only	0	0
"Fowler, 2008/2015"	"Fowler, 2008/2015"	0	Cohort	0	0	0	"MA-BMI, OB incidence, WC"	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	Text only	Text only	0	MA-BMI	MA-BMI	Text only	0	0
"Fresan, 2016"	"Fresan, 2016"	0	Cohort	0	"MA-BW, OB incidence LCSB v SSB only; MA-BW, OB incidence LCSB v water only*"	0	0	0	0	0	MA-OB risk (dose response)	0	0	0	0	0	0	0	0	0	0	0	0
"Bes-Rastrollo, 2006"	"Bes-Rastrollo, 2006"	0	Cohort	0	0	0	Text only	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Acero, 2020"	"Acero, 2020"	0	Cohort	0	0	0	"MA-BMI, BW (h v l)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zheng, 2015a"	"Zheng, 2015a*"	1	Cohort	0	0	Text only	"MA-BMI z-score, BF%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Johnson, 2007"	"Johnson, 2007*"	1	Cohort	0	0	Text only	0	0	0	0	0	0	0	MA-Fat mass	0	0	0	Text only	0	Text only	0	0	Text only
"Vanselow, 2009"	"Vanselow, 2009*"	1	Cohort	0	0	0	MA-BMI (h v l)	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	Text only	0	0
"Haines, 2007 (2012 in WHO, 2022)"	"Haines, 2007 (2012 in WHO, 2022)*"	1	Cohort	0	0	0	MA-OW incidence	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Hasnain, 2014"	"Hasnain, 2014*"	1	Cohort	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0
"Macintyre, 2018"	"Macintyre, 2018*"	1	Cohort	0	0	Text only	MA-BMI (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Berkey, 2004"	"Berkey, 2004*"	1	Cohort	0	0	0	MA-BMI (continuous)	0	0	0	0	0	0	MA-BMI	0	0	0	MA-BMI	MA-BMI	MA-BMI	Text only	0	Text only
"Field, 2014"	"Field, 2014*"	1	Cohort	0	0	0	MA-BMI (continuous)	0	0	0	0	0	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Zheng, 2015b"	"Zheng, 2015b*"	1	Cohort	0	0	0	"MA-BW (cont), BMI z-score"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laska, 2012"	"Laska, 2012*"	1	Cohort	0	0	0	"MA-BMI, BF%"	0	0	0	0	0	0	MA-BMI	0	0	0	0	MA-BMI	MA-BMI	0	0	0
"Striegel-Moore, 2006"	"Striegel-Moore, 2006*"	1	Cohort	0	0	Text only	MA-BMI (continuous)	0	0	0	0	0	0	MA-BMI	0	0	0	0	MA-BMI	0	Text only	0	Text only
"Newby, 2004"	"Newby, 2004*"	1	Cohort	0	0	Text only	"MA-BW, BMI"	0	0	0	0	0	0	MA-BMI	0	0	0	MA-BMI	0	"MA-BW, BMI"	0	0	0
"Kral, 2008"	"Kral, 2008*"	1	Cohort	0	0	0	Text only	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	Text only
"Blum, 2005"	"Blum, 2005*"	1	Cohort	0	0	Text only	MA-BMI z-score (cont)	0	0	0	0	0	0	MA-BMI	0	0	0	Text only	0	0	Text only	0	Text only
"Ludwig, 2001"	"Ludwig, 2001*"	1	Cohort	0	0	0	MA-OW incidence	0	0	0	0	0	0	MA-BMI	0	0	0	Text only	Text only	0	Text only	0	Text only
"Zheng, 2019"	"Zheng, 2019*"	1	Cohort	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Davis, 2018"	"Davis, 2018*"	1	Cohort	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laverty, 2015"	"Laverty, 2015*"	1	Cohort	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0
NA	NA	NA	NA	RCT only	Cohort only	Cohort only	RCT and Cohort	RCT only	RCT only	RCT only	Cohort only	RCT only	RCT and Cohort	Cohort only	RCT only	RCT and Cohort	RCT only	RCT and Cohort	RCT and Cohort	RCT and Cohort	RCT and Cohort	RCT only	RCT and Cohort
