Reference Short	Study Design	Child	Reference Short 2	"McGlynn, 2022"	"Lee, 2022~"	"Rousham, 2022*"	"Rios-Leyvraz, 2022"	"Rogers, 2021"	"Laviada-Molina, 2020"	"Lohner, 2020"	"Qin, 2020~"	"Anker, 2019~"	"Toews, 2019~"	"Karalexi, 2018*"	"Santos, 2018~"	"Azad, 2017"	"Ruanpeng, 2017~"	"Reid, 2016*"	"Rogers, 2016"	"Miller, 2014"	"Pereira, 2014"	"Wiebe, 2011~"	"Brown, 2010*"
"Blackburn, 1997"	RCT	0	"Blackburn, 1997"	0	0	0	"MA-BW, BMI"	MA- BW LCS v Sugar	MA-BW	0	0	0	Text only	0	MA-BW ASP v control	MA-BW SMD	0	0	MA-BW LCSB v SSB	MA-BW	0	0	0
"Gatenby, 1997"	RCT	0	"Gatenby, 1997"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Naismith, 1995"	RCT	0	"Naismith, 1995"	0	0	0	MA-BW	MA-BW LCS v sugar	0	0	0	0	Text Only	0	0	0	0	0	Text only (too short <4 wk)	0	0	0	0
"Tordoff, 1990"	RCT	0	"Tordoff, 1990"	MA-BW	0	0	MA-BW	MA-BW LCS v nothing	0	0	0	0	0	0	0	0	0	0	Text only (too short <4 wk)	MA-BW	Text only	0	0
"Colaguiri, 1989"	RCT	0	"Colaguiri, 1989"	0	0	0	0	MA-BW LCS v sugar	0	MA-BW LCS v sugar	0	0	0	0	MA-BW ASP v control; MA-BW ASP v sucrose	0	0	0	0	0	0	0	0
"Leon, 1989"	RCT	0	"Leon, 1989"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0
"Addington, 1988"	RCT	0	"Addington, 1988"	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cooper, 1988"	RCT	0	"Cooper, 1988"	0	0	0	0	0	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kanders, 1988"	RCT	0	"Kanders, 1988"	0	0	0	"MA-BW, BMI"	MA-BW LCS v water/nothing	MA-BW	0	0	0	Text only	0	Text only	0	0	0	MA-BW LCSB v SSB	MA-BW; MA-BMI; MA-Fat mass	0	0	0
"Chantelau, 1985"	RCT	0	"Chantelau, 1985"	0	0	0	0	MA-BW LCS v sugar	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	Text only	0
"Werner, 1984"	RCT	0	"Werner, 1984"	0	0	0	0	MA-BW LCS v sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Porikos, 1982"	RCT	0	"Porikos, 1982"	0	0	0	0	0	0	0	0	0	Text Only	0	0	0	0	0	0	0	0	0	0
"Frey, 1976"	RCT	0	"Frey, 1976"	0	0	0	0	MA- BW LCS v Sugar	MA-BW	0	0	0	Text Only	0	0	0	0	0	0	0	0	0	0
"Knopp, 1976"	RCT	1	"Knopp, 1976*"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	MA-BW	0	0	0	Text Only	0	0	0	0	0	0	MA-BW	0	0	Text only
"Stern, 1976"	RCT	0	"Stern, 1976"	0	0	0	0	MA-BW/BMI LCS capsules v placebo	0	MA-BW LCS v placebo	0	0	0	0	Text only	0	0	0	0	0	0	0	0
"Berryman, 1968"	RCT	0	"Berryman, 1968"	0	0	0	0	MA- BW LCS v Sugar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wulaningsih, 2017"	Cross-sectional	0	"Wulaningsih, 2017"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Kuk, 2016"	Cross-sectional	0	"Kuk, 2016"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"O'Connor, 2015"	Cross-sectional	1	"O'Connor, 2015*"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only
"Duran Aguero, 2014"	Cross-sectional	0	"Duran Aguero, 2014"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Fernandes, 2013"	Cross-sectional	0	"Fernandes, 2013"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"French, 2013"	Cross-sectional	0	"French, 2013"	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-OB risk	0	0	0	0	0	0
"O'Connor, 2006"	Cross-sectional	1	"O'Connor, 2006*"	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0
"Forshee, 2003"	Cross-sectional	1	"Forshee, 2003*"	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	Text only
"Giammattei, 2003"	Cross-sectional	1	"Giammattei, 2003*"	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	Text only
"Serra-Majem, 1996"	Cross-sectional	0	"Serra-Majem, 1996"	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0
"Stookey, 2008"	Cohort	0	"Stookey, 2008"	0	"MA-WC*; MA-BW, WC, BF%* LCSB v SSB only"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stellman, 1986"	Cohort	0	"Stellman, 1986"	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chia, 2016"	Cohort	0	"Chia, 2016"	0	0	0	"MA-BMI, Ob Incidence, WC, AbO incidence"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Duffey, 2012"	Cohort	0	"Duffey, 2012"	0	0	0	MA-Ab incidence (h v l)	0	0	0	MA- OB risk (h v l)	0	0	0	0	0	0	0	Text only	0	0	0	0
"Hinkle, 2019"	Cohort	0	"Hinkle, 2019"	0	0	0	0	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	0	0	0	0	0	0	0	0
"Lana, 2015"	Cohort	0	"Lana, 2015"	0	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Ma, 2016"	Cohort	0	"Ma, 2016"	0	0	0	MA-BW (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garduno-Alanis, 2020"	Cohort	0	"Garduno-Alanis, 2020"	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pan, 2013"	Cohort	0	"Pan, 2013"	0	MA-BW LCSB v SSB only	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0
"Mozaffarian, 2011"	Cohort	0	"Mozaffarian, 2011"	0	Text - only (double count)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0
"Smith, 2015"	Cohort	0	"Smith, 2015"	0	MA-BW	0	MA-BW	0	0	0	0	0	0	0	0	MA-BW	0	0	0	0	0	0	0
"Gearon, 2014"	Cohort	0	"Gearon, 2014"	0	0	0	Text only	0	0	0	0	0	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Nettleton, 2009"	Cohort	0	"Nettleton, 2009"	0	0	0	MA-Ab incidence (h v l)	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	Text only	MA-OB risk	0	Text only	Text only	Text only	0	0
"Stern, 2017"	Cohort	0	"Stern, 2017"	0	MA-BW	0	"MA-BW (h v l),WC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colditz, 1990"	Cohort	0	"Colditz, 1990"	0	0	0	0	0	0	0	0	0	Text Only	0	0	0	0	0	0	Text only	0	0	0
"Schulze, 2004"	Cohort	0	"Schulze, 2004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BW	0	0	0
"Tucker, 2015"	Cohort	0	"Tucker, 2015"	0	0	0	MA-BW (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ferreira-Pego, 2016"	Cohort	0	"Ferreira-Pego, 2016"	0	0	0	MA-Ab incidence (h v l)	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	0	0	0	0	0	0	0	0
"Parker, 1997"	Cohort	0	"Parker, 1997"	0	0	0	"MA-BW (cont), BW (h v l)"	0	0	0	0	0	Text Only	0	0	MA-BW	0	0	0	MA-BW	0	0	0
"Chen, 2009"	Cohort	0	"Chen, 2009"	0	MA-BW	0	0	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	Text only	0	0
"Fowler, 2008/2015"	Cohort	0	"Fowler, 2008/2015"	0	0	0	"MA-BMI, OB incidence, WC"	0	0	0	"MA- OB risk (h v l), OB risk (dose response)"	0	0	0	0	Text only	MA-OB risk	0	MA-BMI	MA-BMI	Text only	0	0
"Fresan, 2016"	Cohort	0	"Fresan, 2016"	0	"MA-BW, OB incidence LCSB v SSB only; MA-BW, OB incidence LCSB v water only*"	0	0	0	0	0	MA-OB risk (dose response)	0	0	0	0	0	0	0	0	0	0	0	0
"Bes-Rastrollo, 2006"	Cohort	0	"Bes-Rastrollo, 2006"	0	0	0	Text only	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Acero, 2020"	Cohort	0	"Acero, 2020"	0	0	0	"MA-BMI, BW (h v l)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zheng, 2015a"	Cohort	1	"Zheng, 2015a*"	0	0	Text only	"MA-BMI z-score, BF%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Johnson, 2007"	Cohort	1	"Johnson, 2007*"	0	0	Text only	0	0	0	0	0	0	0	MA-Fat mass	0	0	0	Text only	0	Text only	0	0	Text only
"Vanselow, 2009"	Cohort	1	"Vanselow, 2009*"	0	0	0	MA-BMI (h v l)	0	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	Text only	0	0
"Haines, 2007 "	Cohort	1	"Haines, 2007 *"	0	0	0	MA-OW incidence	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0
"Hasnain, 2014"	Cohort	1	"Hasnain, 2014*"	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	Text only	0	0	0	0	0
"Macintyre, 2018"	Cohort	1	"Macintyre, 2018*"	0	0	Text only	MA-BMI (h v l)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Berkey, 2004"	Cohort	1	"Berkey, 2004*"	0	0	0	MA-BMI (continuous)	0	0	0	0	0	0	MA-BMI	0	0	0	MA-BMI	MA-BMI	MA-BMI	Text only	0	Text only
"Field, 2014"	Cohort	1	"Field, 2014*"	0	0	0	MA-BMI (continuous)	0	0	0	0	0	0	0	0	MA-BMI MD	0	0	0	0	0	0	0
"Zheng, 2015b"	Cohort	1	"Zheng, 2015b*"	0	0	0	"MA-BW (cont), BMI z-score"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laska, 2012"	Cohort	1	"Laska, 2012*"	0	0	0	"MA-BMI, BF%"	0	0	0	0	0	0	MA-BMI	0	0	0	0	MA-BMI	MA-BMI	0	0	0
"Striegel-Moore, 2006"	Cohort	1	"Striegel-Moore, 2006*"	0	0	Text only	MA-BMI (continuous)	0	0	0	0	0	0	MA-BMI	0	0	0	0	MA-BMI	0	Text only	0	Text only
"Newby, 2004"	Cohort	1	"Newby, 2004*"	0	0	Text only	"MA-BW, BMI"	0	0	0	0	0	0	MA-BMI	0	0	0	MA-BMI	0	"MA-BW, BMI"	0	0	0
"Kral, 2008"	Cohort	1	"Kral, 2008*"	0	0	0	Text only	0	0	0	0	0	0	Text only	0	0	0	0	0	0	0	0	Text only
"Blum, 2005"	Cohort	1	"Blum, 2005*"	0	0	Text only	MA-BMI z-score (cont)	0	0	0	0	0	0	MA-BMI	0	0	0	Text only	0	0	Text only	0	Text only
"Ludwig, 2001"	Cohort	1	"Ludwig, 2001*"	0	0	0	MA-OW incidence	0	0	0	0	0	0	MA-BMI	0	0	0	Text only	Text only	0	Text only	0	Text only
"Zheng, 2019"	Cohort	1	"Zheng, 2019*"	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Davis, 2018"	Cohort	1	"Davis, 2018*"	0	0	0	Text only	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Laverty, 2015"	Cohort	1	"Laverty, 2015*"	0	0	0	0	0	0	0	0	0	0	MA-BMI	0	0	0	0	0	0	0	0	0
NA	NA			RCT only	Cohort only	Cohort only	RCT and Cohort	RCT only	RCT only	RCT only	Cohort only	RCT only	RCT and Cohort	Cohort only	RCT only	RCT and Cohort	RCT only	RCT and Cohort	RCT and Cohort	RCT and Cohort	RCT and Cohort	RCT only	RCT and Cohort
