Order	Covidence #	Study ID	year	Duplicate Year	OBS Only	INT Only	Both	Conclusion statement	What was the authors' conclusion regarding the association between LCS and BW?	Decrease BW/more beneficial	Neutral (no directional effect or association)	Evidence is insufficient to draw a conclusion	Increase BW/less beneficial	"Other: Beneficial for LCS versus sugar; no clear evidence of
effects on BW or EI of LCS compared with the consumption
of water/nothing"	BEN - OBS	NEUTRAL - OBS	INSUFFICIENT - OBS	ADV - OBS	OTHER - OBS	NEUTRA/INSUF - OBS	BEN - INT	NEUTRAL - INT	INSUFFICIENT - INT	ADV - INT	OTHER - INT	NEUTRA/INSUF - INT	BEN - BOTH	NEUTRAL - BOTH	INSUFFICIENT - BOTH	ADV - BOTH	OTHER - BOTH	NEUTRA/INSUF - BOTH
11	283	Anker 2019	2019	0	0	1	0	"The overall effect of BMI, diastolic BP, FBG, total cholesterol, and high-density lipoprotein cholesterol (HDL-C) was a non-significant reduction in favour of SGs, and a non-significant increase in low-density lipoprotein cholesterol and triglyceride, while no significant eect of HbA1c was found. "	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12	329	Toews 2019	2019	1	0	0	1	"Most health outcomes did not seem to have differences between the NSS exposed and unexposed groups. Of the few studies identified for each outcome, most had few participants, were of short duration, and their methodological and reporting quality was limited; therefore, confidence in the reported results is limited."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
13	231	Laviada-Molina 2020	2020	0	0	1	0	"This meta-analysis found no evidence suggesting that NNS consumption promotes body weight gain, even in children or adolescents. Rather, our data indicate that replacing sugar with NNS leads to weight reduction, an effect that is particularly evident in adults, subjects with overweight/obesity, and those under an unrestricted diet. "	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
14	240	Lohner 2020	2020	0	0	1	0	"There is inconclusive evidence of very low certainty regarding the eMects of NNS consumption compared with either sugar, placebo, or nutritive low-calorie sweetener consumption on clinically relevant benefit or harm for HbA1c, body weight, and adverse events in people with type 1 or type 2 diabetes. Data on health-related quality of life, diabetes complications, all-cause mortality, and socioeconomic eMects are lacking."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
15	227	Qin 2020	2020	1	1	0	0	"Our meta-analysis indicates that consumption of both SSBs and ASBs may increase the risk of obesity, T2DM, hypertension, and all-cause mortality. Primary prevention of these health outcomes may be to reduce the consumption of SSBs and ASBs."	Increase BW/less beneficial	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	167	Rogers 2021	2021	1	0	1	0	"The results of this review show that consumption of LCS vs sugar decreases BW, and that it does so via decreasing daily EI. The studies available to test these effects included adults and children, with healthy weight, overweight and obesity, and consumption of LCS or sugar in beverages, or in beverages and foods. In contrast, there was no clear evidence of effects on BW or EI of LCS compared with the consumption of water/nothing. There were, however, substantial differences in results across studies, so further research on this question would be valuable. There was also no evidence overall of an effect of LCS consumed in capsules vs placebo capsules, indicating that, beyond the effect of reduced sugar intake, there is no meaningful post-ingestive effect of LCS on energy balance. Occurrence of adverse events did not differ between LCS and comparator interventions."	Decrease BW/more beneficial	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
17	25	Lee 2022	2022	0	1	0	0	"LNCSB are not associated with weight gain or an increase in adverse cardiometabolic outcomes and may be associated with some advantages in analyses that model the change in intake of LNCSB or the substitutions of LNCSBS for SSB in people with varying cardiometabolic risk profiles inclusive of T2D. The available evidence provides some indication that increased intake of LNCSB is associated with lower adiposity and LNCSB in their intended substitution for SSB are modestly associated with lower adiposity, lower risk of OB and CHD, and reductions in total mortality; these associations are comparable with those of the standard of care, water."	Decrease BW/more beneficial	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	84	McGlynn 2022	2022	0	0	1	0	"In this systematic review and meta-analysis, using LNCSBs as an intended substitute for SSBs appeared to be associated with reductions in body weight and cardiometabolic risk factors, including BMI, percentage of body fat, and IHCL, without evidence of harm. These small improvements were similar in direction to those associated with water substitution, the standard of care. The evidence provides a good indication of the benefits of LNCSBs as an alternative replacement strategy over the moderate term for SSBs in adults with overweight or obesity who are at risk for or have diabetes."	Decrease BW/more beneficial	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19	7	Rousham 2022	2022	0	0	0	1	"Therefore, the body of evidence for all age groups ≤10.9 y indicates that ASB consumption makes little or no difference to increased BMI, percentage body fat, or the risk of overweight/obesity (low certainty). Consumption of ASBs and 100% fruit juice makes little or no difference to BMI, percentage body fat, or overweight/obesity outcomes (low certainty)."	Neutral (no directional effect or association)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
20	1440	WorldHealth 2022	2022	1	0	0	1	"The results of this review suggest that, in shorter-term RCTs, those consuming NSS had lower body weight and BMI at the end of the trials than those not consuming NSS, particularly when compared with sugars (including when NSS were explicitly used as replacements for sugars), but not when compared with water. Those consuming NSS also exhibited a significant reduction in energy intake, primarily when NSS were compared to sugars. Therefore, NSS may be effective at assisting with short-term weight loss when their use leads to a reduction in total energy intake. Results from prospective cohort studies suggest the possibility of long-term harm in the form of increased risk of obesity, type 2 diabetes, cardiovascular diseases and mortality. Further research is needed to determine whether the observed associations are genuine or a result of reverse causation and/or residual confounding."	Evidence is insufficient to draw a conclusion	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
