Reference 2	IncludeinPlot	Covidence ID	Reference	Figure/Table Number	Number of Studies	Population - Clean	Number of Participants	Intervention/Exposure	Intervention/Exposure - Clean	LCSB Only	Comparator - Clean 2	Outcome - Description	Outcome - Clean	Study Design	Study Design-Clean	MD	Lower 95% MD	Upper 95% MD	SMD	Lower 95% SMD	Upper 95% SMD	"Heterogeneity (I2, %)"	Stat sig?	Favors LCS or control
McGlynn 2022 - LCSB v Water	0	84	McGlynn 2022	Figure 4	"4,14"	Adults	"124, 559"	LCSB	LCSB	1	All comparators	Body fat (%)	Body fat (%)	"RCT, network analysis"	RCT	-0.34	-1.67	1	-0.13	-0.66	0.39	0	No	NS
McGlynn 2022 - LCSB v Water	1	84	McGlynn 2022	Figure 4	"9,24"	Adults	"752, 1444"	LCSB	LCSB	1	All comparators	BW	BW	"RCT, network analysis"	RCT	-1.07	-1.95	-0.19	-0.48	-0.88	-0.08	71	Yes	LCSB
McGlynn 2022 - LCSB v Water	0	84	McGlynn 2022	Figure 4	"5,6"	Adults	"628, 868"	LCSB	LCSB	1	All comparators	WC	WC	"RCT, network analysis"	RCT	-0.82	-2.83	1.19	-0.33	-1.13	0.47	70	No	NS
Miller 2014 - LCS v All	1	561	Miller 2014	Figure 4A	4	"Adults, adolescents, children"	0	LCS	LCS	0	All comparators	BMI	BMI	Prospective cohort	Cohort	0.03	0.01	0.06	-	-	-	53	Yes	Control
Miller 2014 - LCS v All	1	561	Miller 2014	Figure 3A	5	"Adults, adolescents, children"	0	LCS	LCS	0	All comparators	BMI	BMI	RCT	RCT	-0.24	-0.41	-0.07	-	-	-	0	Yes	LCS
Miller 2014 - LCS v All	0	561	Miller 2014	Supplemental Table 2	3	"Adults, adolescents, children"	-	LCS	LCS	0	All comparators	Body fat (kg)	Body fat (kg)	Prospective cohort	Cohort	0.035	-0.026	0.096	-	-	-	-	No	NS
Miller 2014 - LCS v All	1	561	Miller 2014	Figure 4B	4	"Adults, adolescents, children"	0	LCS	LCS	0	All comparators	BW	BW	Prospective cohorts	Cohort	0.02	-0.01	0.06	-	-	-	92	No	NS
Miller 2014 - LCS v All	1	561	Miller 2014	Figure 2A	13	"Adults, adolescents, children"	-	LCS	LCS	0	All comparators	BW	BW	RCT	RCT	-0.8	-1.17	-0.43	-	-	-	61	Yes	LCS
Miller 2014 - LCS v All	0	561	Miller 2014	Figure 3B	5	"Adults, adolescents, children"	0	LCS	LCS	0	All comparators	Body fat (kg)	Body fat (kg)	RCT	RCT	-1.1	-1.77	-0.44	-	-	-	86	Yes	LCS
Miller 2014 - LCS v All	0	561	Miller 2014	Figure 3C	3	"Adults, adolescents, children"	0	LCS	LCS	0	All comparators	WC	WC	RCT	RCT	-0.83	-1.29	-0.37	-	-	-	0	Yes	LCS
Miller 2014 - LCSB v All	1	561	Miller 2014	Supplemental Table 2	2	"Adults, adolescents, children"	-	LCS beverages only	LCSB only	1	All comparators	BW	BW	Prospective cohorts	Cohort	-0.001	-0.009	0.008	-	-	-	-	No	NS
Miller 2014 - LCSB v SSB	1	561	Miller 2014	Figure 2D	7	"Adults, adolescents, children"	0	only LCS beverages	LCSB only	1	All comparators	BW	BW	RCT	RCT	-0.73	-1.11	-0.34	-	-	-	56	Yes	LCS
"Qin 2020 - LCSB, cont"	0	227	Qin 2020	Table 1	2	Adults	0	higher intake ASB; dose-response (per 250-mL/d increase)	Higher LCSB; dose-response (per 250 mL/d increase)	1	All comparators	HR/RR Ab OB	HR/RR Ab OB	Prospective cohort	Cohort	1.47	1.15	1.88	-	-	-	20.4	Yes	Control
"Qin 2020 - LCSB, cont"	0	227	Qin 2020	Figure 2	5	Adults	22390	higher intake ASB; dose-response (per 250-mL/d increase)	Higher LCSB; dose-response (per 250 mL/d increase)	1	All comparators	HR/RR OB	HR/RR OB	Prospective cohort	Cohort	1.21	1.09	1.35	-	-	-	47.2	Yes	Control
"Qin 2020 - LCSB, h v l"	0	227	Qin 2020	Supplemental Figure 1	5	Adults	-	highest intake ASB (high v low)	Highest LCSB (h v l)	1	All comparators	HR/RR OB	HR/RR OB	Prospective cohort	Cohort	1.39	0.96	2.01	-	-	-	89.2	No	NS
Rogers 2016 - LCS v All	1	488	Rogers 2016	Figure 2	9	"Adults, adolescents, children"	-	LCS	LCS	0	All comparators	BMI	BMI	cohort	Cohort	0	-0.01	0	-	-	-	82.1	No	NS
Rogers 2016 - LCS v Water/Nothing/Placebo	1	488	Rogers 2016	Figure 4	3	"Adults, adolescents, children"	541	LCS	LCS	0	All comparators	BW	BW	RCT	RCT	-1.24	-2.22	-0.26	-	-	-	38.4	Yes	LCS
Rogers 2016 - LCSB v SSB	1	488	Rogers 2016	Figure 4	9	"Adults, adolescents, children"	-	LCSB	LCSB	1	All comparators	BW	BW	RCT	RCT	-1.35	-2.28	-0.42	-	-	-	89.2	Yes	LCS
Rogers 2021 - LCS v Sugars; CO; ? BW	1	167	Rogers 2021	Table 1	8	"Adults, adolescents, children"	123	LCS	LCS	0	All comparators	"BW, change"	BW	"RCT, cross over"	RCT	-	-	-	-0.53	-1.01	-0.05	0	Yes	LCS
Rogers 2021 - LCS v Sugars; CO; End BW	1	167	Rogers 2021	Table 1	8	"Adults, adolescents, children"	123	LCS	LCS	0	All comparators	"BW, end"	BW	"RCT, cross over"	RCT	-	-	-	-0.55	-5.34	4.25	0	No	NS
Rogers 2021 - LCS v Sugars; Par; ? BMI	1	167	Rogers 2021	Table 1	11	"Adults, adolescents, children"	1348	LCS	LCS	0	All comparators	"BMI, change"	BMI	"RCT, parallel group"	RCT	-	-	-	-0.35	-0.58	-0.12	70	Yes	LCS
Rogers 2021 - LCS v Sugars; Par; ? BW	1	167	Rogers 2021	Table 1	29	"Adults, adolescents, children"	2267	LCS	LCS	0	All comparators	"BW, change"	BW	"RCT, parallel group"	RCT	-	-	-	-1.06	-1.5	-0.62	51	Yes	LCS
Rogers 2021 - LCS v Sugars; Par; end BMI	1	167	Rogers 2021	Table 1	11	"Adults, adolescents, children"	1348	LCS	LCS	0	All comparators	"BMI, end"	BMI	"RCT, parallel group"	RCT	-	-	-	-0.27	0	0.1	0	No	NS
Rogers 2021 - LCS v Sugars; Par; end BW	1	167	Rogers 2021	Table 1	26	"Adults, adolescents, children"	2196	LCS	LCS	0	All comparators	"BW, end"	BW	"RCT, parallel group"	RCT	-	-	-	-1.45	-2.5	-0.41	0	Yes	LCS
Rogers 2021 - LCS v Water/Nothing/Placebo; CO; ? BW	1	167	Rogers 2021	Table 1	4	"Adults, adolescents, children"	134	LCS	LCS	0	All comparators	"BW, change"	BW	"RCT, cross over"	RCT	-	-	-	-0.45	-0.91	0	0	Yes	LCS
Rogers 2021 - LCS v Water/Nothing/Placebo; CO; End BW	1	167	Rogers 2021	Table 1	4	"Adults, adolescents, children"	134	LCS	LCS	0	All comparators	"BW, end"	BW	"RCT, cross over"	RCT	-	-	-	-0.05	-0.5	0.39	0	No	NS
Rogers 2021 - LCS v Water/Nothing/Placebo; Par; ? BMI	1	167	Rogers 2021	Table 1	8	"Adults, adolescents, children"	431	LCS	LCS	0	All comparators	"BMI, change"	BMI	"RCT, parallel group"	RCT	-	-	-	0.2	-0.1	0.51	64	No	NS
Rogers 2021 - LCS v Water/Nothing/Placebo; Par; ? BW	1	167	Rogers 2021	Table 1	11	"Adults, adolescents, children"	1068	LCS	LCS	0	All comparators	"BW, change"	BW	"RCT, parallel group"	RCT	-	-	-	0.1	-0.87	1.07	82	No	NS
Rogers 2021 - LCS v Water/Nothing/Placebo; Par; End BMI	1	167	Rogers 2021	Table 1	8	"Adults, adolescents, children"	431	LCS	LCS	0	All comparators	"BMI, end"	BMI	"RCT, parallel group"	RCT	-	-	-	0.23	-0.4	0.87	0	No	NS
Rogers 2021 - LCS v Water/Nothing/Placebo; Par; End BW	1	167	Rogers 2021	Table 1	10	"Adults, adolescents, children"	1040	LCS	LCS	0	All comparators	"BW, end"	BW	"RCT, parallel group"	RCT	-	-	-	-0.01	-1.55	1.53	3	No	NS
Toews 2019 - LCS v Sugars	1	329	Toews 2019	Supplemental Figure 1	2	Adults	174	NSS	LCS	0	All comparators	BMI	BMI	"RCT, random effects MA"	RCT	-0.6	-1.19	-0.01	-	-	-	96.9	Yes	LCS
Toews 2019 - LCS v Sugars	1	329	Toews 2019	Figure 3	5	Adults	229	NNS	LCS	0	All comparators	BW	BW	RCT	RCT	-1.29	-2.8	0.21	-	-	-	99	No	NS
"WHO 2022 - LCS, H v L"	1	1440	WHO 2022	Table 2; Figure 5	5	Adults	80583	Highest NNS	Highest LCS	0	All comparators	BMI	BMI	Cohort	Cohort	0.14	0.03	0.25	-	-	-	79	Yes	Control
"WHO 2022 - LCS, H v L"	1	1440	WHO 2022	Table 2; Figure A9.7	5	Adults	11874	Highest NNS	Highest LCS	0	All comparators	BW	BW	Cohort	Cohort	-0.01	-0.67	0.64	-	-	-	49	No	NS
"WHO 2022 - LCS, h v l"	0	1440	WHO 2022	Table 2; Figure A9.9	4	Adults	10895	Highest NNS	Highest LCS	0	All comparators	HR/RR Ab OB	HR/RR Ab OB	Cohort	Cohort	1.33	0.91	1.96	-	-	-	91	No	NS
"WHO 2022 - LCS, h v l"	0	1440	WHO 2022	Table 2; Figure 6	2	Adults	1668	Highest NNS	Highest LCS	0	All comparators	HR/RR OB	HR/RR OB	COhort	Cohort	1.76	1.25	2.49	-	-	-	0	Yes	Control
"WHO 2022 - LCS, h v l"	0	1440	WHO 2022	Table 2; Figure A9.8	3	Adults	12886	Highest NNS	Highest LCS	0	All comparators	WC	WC	Cohort	Cohort	0.92	-1.73	3.56	-	-	-	85	No	NS
WHO 2022 - LCS v All	1	1440	WHO 2022	Table 2; Figure 4	23	Adults	1857	NSS	LCS	0	All comparators	BMI	BMI	RCT	RCT	-0.14	-0.3	0.02	-	-	-	71	No	NS
WHO 2022 - LCS v All	0	1440	WHO 2022	Table 2; Figure A9.4	10	Adults	757	NNS	LCS	0	All comparators	Body fat (%)	Body fat (%)	RCT	RCT	-0.11	-0.78	0.56	-	-	-	74	No	NS
WHO 2022 - LCS v All	0	1440	WHO 2022	Table 2; Figure A9.3	6	Adults	618	NNS	LCS	0	All comparators	Body fat (kg)	Body fat (kg)	RCT	RCT	-0.54	-1.56	0.49	-	-	-	87	No	NS
WHO 2022 - LCS v All	1	1440	WHO 2022	Table 2; Figure 3	29	Adults	2433	NNS	LCS	0	All comparators	BW	BW	RCT	RCT	-0.71	-1.13	-0.28	-	-	-	83	Yes	LCS
WHO 2022 - LCS v All	0	1440	WHO 2022	Table 2; Figure A9.1	10	Adults	1252	NNS	LCS	0	all comparators	WC	WC	RCT	RCT	-0.24	0	0.58	-	-	-	74	No	NS
"WHO 2022 - LCS, cont"	1	1440	WHO 2022	Table 2; Figure A9.6	4	Adults	118457	"NNS (continuous, per serving)"	"LCS (continuous, per serving)"	0	Lower LCS	BW	BW	Cohort	Cohort	-0.12	-0.4	0.15	-	-	-	76	No	NS
WHO 2022 - LCSB v None	1	1440	WHO 2022	Figure A9.19	13	Adults	1289	LCSB	LCSB	1	no LCS	BMI	BMI	RCT	RCT	0.03	-0.2	0.25	-	-	-	72	No	NS
WHO 2022 - LCSB v None	1	1440	WHO 2022	Fig A9.16	18	Adults	1861	LCSB	LCSB	1	no LCS	BW	BW	RCT	RCT	-0.45	-1.03	0.12	-	-	-	86	No	NS
																								
																								
																								
																								
																								
																								
																								
																								
																								
